#1.Msg_size 2.Frags  3.Inst_active_diff 4.Inst_passive_diff 5.Inst_tot_diff  6.Cache_active_diff 7.Cache_passive_diff 8.Cache_tot_diff  9.Inst_per_put_ini 10.Inst_per_put_final 11.Inst_per_put_diff  12.Cache_per_put_ini 13.Cache_per_put_final 14.Cache_per_put_diff  15.Dca_active_diff 16.Dca_passive_diff 17.Dca_tot_diff  18.Tca_active_diff 19.Tca_passive_diff 20.Tca_tot_diff  21.Tch_percent_ini 22.Tch_percent_final  23.Tcm_percent_ini 24.Tcm_percent_final 
524288 1 33.899055579204 14.581041891195 16.369743546091 20.348769791197 2.147757360880 20.348652167204 796553.029749444750 526529.075476846752 33.899055579204 3485.005307542095 2775.849600299355 20.348769791197 41.155568722283 37.349997130523 41.155531344229 41.148171743614 29.167829942906 41.147999195655 85.273176009211 80.068424674512 14.726823990788 19.931575325487
524288 2 18.072608328364 11.891294262410 12.369199725238 19.639927194264 -42.424253514641 19.639809879891 317954.456146533180 260491.792624588080 18.072608328364 1745.870993530630 1402.983201495436 19.639927194264 35.377802036787 41.187643825976 35.377858647442 35.375967736593 34.322620583844 35.375953779392 83.845538219773 79.911904606863 16.154461780226 20.088095393136
524288 4 5.317607201369 8.888917180759 8.641092616570 27.404231484676 8.928564489443 27.404204629078 137368.108390415200 130063.411966261378 5.317607201369 963.167776991259 699.219049798759 27.404231484676 15.454201005186 49.607120345436 15.454596111161 15.463123540692 41.596125934932 15.463516193236 76.668021909527 79.963739477932 23.331978090472 20.036260522067
524288 8 -11.755823141103 8.570763276336 7.359724950497 35.868522244628 4.444507744592 35.868456732078 58199.847778729050 65041.718951988169 -11.755823141103 539.632388547054 346.074225221832 35.868522244628 15.413115495849 53.821343789410 15.413549188575 15.419038498992 44.935507484742 15.419496881858 73.780841127516 80.119954016186 26.219158872483 19.880045983813
524288 16 -44.829432950475 9.786189159478 7.588373585410 51.855423948436 18.888881310689 51.855370372731 19429.666514411601 28139.875836990700 -44.829432950475 346.127879669754 166.641800263270 51.855423948436 21.428303758525 48.931502055213 21.428578393867 21.428452919110 43.387749561609 21.428747123499 69.715683814926 81.443338995975 30.284316185073 18.556661004024
524288 32 -202.988542302593 12.441149347865 8.966178352917 72.626601207245 6.849308097320 72.626538737616 3882.498632206508 11763.526010640648 -202.988542302593 240.208730242683 65.753293664341 72.626601207245 16.653063018162 56.858522785144 16.653463682194 16.652716922767 47.005512197691 16.653129661404 58.816785437030 86.474369479385 41.183214562969 13.525630520614
524288 64 1.327478789704 15.618498801373 14.897609415598 73.224724697310 32.631522393102 73.224674872857 6587.098609175758 6499.656272282021 1.327478789704 120.938094949702 32.381507868611 73.224724697310 3.440896077503 50.220438358288 3.441472545800 3.422663535119 44.322297599357 3.423337476516 53.282341648117 87.047911967177 46.717658351882 12.952088032822
524288 128 3.020666570849 16.023124681050 15.175741835701 75.532303331038 4.878111170023 75.532227867731 4481.081056937475 4345.722539437876 3.020666570849 59.981148603883 14.676005498957 75.532303331038 4.197098642133 55.020290681606 4.197769898753 4.196247804749 52.006503741412 4.197125849103 54.368959210778 88.346109216638 45.631040789221 11.653890783361
524288 256 4.820029651138 15.226754868215 14.428975270544 74.257693528728 4.938266078796 74.257620617072 2771.004861000578 2637.441605065864 4.820029651138 30.082357148549 7.743892570962 74.257693528728 7.866846272584 50.939071996509 7.867365893398 7.876680315862 40.513350679368 7.877199927467 57.471718150544 88.116189594350 42.528281849455 11.883810405649
524288 512 16.430131445307 5.349081689051 6.924455132060 5.830778131689 -.000006232295 5.830748300890 2635.280297044132 2202.300280287479 16.430131445307 3.168671893336 2.983913665515 5.830778131669 -9.521710073219 50.366105587376 -9.520921241407 -9.506579555334 42.587491370872 -9.505667706171 88.833066998461 90.397093985762 11.166933001538 9.602906014237
