#1.Msg_size 2.Frags  3.Inst_active_diff 4.Inst_passive_diff 5.Inst_tot_diff  6.Cache_active_diff 7.Cache_passive_diff 8.Cache_tot_diff  9.Inst_per_put_ini 10.Inst_per_put_final 11.Inst_per_put_diff  12.Cache_per_put_ini 13.Cache_per_put_final 14.Cache_per_put_diff  15.Dca_active_diff 16.Dca_passive_diff 17.Dca_tot_diff  18.Tca_active_diff 19.Tca_passive_diff 20.Tca_tot_diff  21.Tch_percent_ini 22.Tch_percent_final  23.Tcm_percent_ini 24.Tcm_percent_final 
524288 1 -67.860633451238 45.309947920800 37.027604728439 -25.779235604278 -17136943.613177960694 -161.833055694008 526529.075476846752 883835.041400386600 -67.860633451238 2775.849600299355 3491.442408780937 -25.779235604278 -71.133316151069 -9824367.250394987716 -173.867194527140 -71.404881171192 -5948821.619700041413 -174.523162559587 80.068424674512 85.373938643409 19.931575325487 14.626061356590
524288 2 -69.969486183781 46.789344832983 38.349717432579 -29.602524531583 -41011878.814724878746 -166.994872218222 260491.792624588080 442756.561474934960 -69.969486183781 1402.983201495436 1818.301647892111 -29.602524531583 -70.676653298385 -11511432.310493568893 -172.758333596423 -70.948190116222 -7608335.111245038265 -173.403409143566 79.911904606863 84.770427377957 20.088095393136 15.229572622042
524288 4 -68.140631123845 47.217928320270 38.921618621609 -40.451890057976 -80333321.176331898384 -186.939509805964 130063.411966261378 218689.441741278800 -68.140631123845 699.219049798759 982.066371087783 -40.451890057976 -70.794370290804 -14717462.174647593791 -172.277949980556 -71.067103569074 -9813914.011559166274 -172.939303941470 79.963739477932 83.549551016498 20.036260522067 16.450448983501
524288 8 -62.148191310434 46.835805262966 39.002834731918 -63.325552200364 -52472059.716087906709 -226.320593020320 65041.718951988169 105463.970877864832 -62.148191310434 346.074225221832 565.227639366691 -63.325552200364 -71.093603229184 -16254873.350872477140 -171.296445844683 -71.364919637412 -9949093.148157123842 -171.952817532609 80.119954016186 81.052601110279 19.880045983813 18.947398889720
524288 16 -74.904945855136 46.332824109437 38.686679322339 -117.711484777617 -75985973.778299444986 -325.757686072294 28139.875836990700 49218.034596391171 -74.904945855136 166.641800263270 362.798337613316 -117.711484777617 -63.779051674935 -14523594.207101880641 -158.040454022385 -64.045335542205 -9805332.769836306167 -158.698897834980 81.443338995975 75.372672399686 18.556661004024 24.627327600313
524288 32 -89.284035119393 49.592181241243 42.136335216188 -266.215665209758 -105706245.320171936530 -607.840039352660 11763.526010640648 22266.476705260020 -89.284035119393 65.753293664341 240.798861790194 -266.215665209760 -46.497424907324 -16512068.161224467858 -131.670637858063 -46.751254665246 -9885921.295378779839 -132.225038482057 86.474369479385 66.246981739357 13.525630520614 33.753018260642
524288 64 -73.351654029394 50.554419020884 43.307515790707 -270.171327325117 -111330657.171123803843 -613.986411117761 6499.656272282021 11267.261654226177 -73.351654029394 32.381507868611 119.867057485126 -270.171327325121 -42.397343925154 -12900026.717881813918 -124.351140422979 -42.651810549311 -8657924.139864804931 -124.899453432044 87.047911967177 66.390250496790 12.952088032822 33.609749503209
524288 128 -26.723578953058 48.373788226295 42.778299301315 -308.307020446221 -89628787.439813301619 -680.467251144093 4345.722539437876 5507.055133345420 -26.723578953058 14.676005498957 59.923160773315 -308.307020446221 -41.403076425748 -12786840.706834774156 -120.695102974301 -41.652867788675 -8651931.031126712756 -121.252341114947 88.346109216638 66.408266231088 11.653890783361 33.591733768911
524288 256 -7.983000008848 51.734125748220 46.642147180805 -287.598431844205 -90258289.279458977111 -638.176508140533 2637.441605065864 2847.988568631645 -7.983000008848 7.743892570962 30.015206168749 -287.598431844210 -36.818741236444 -11682682.547932149126 -111.869087868779 -37.050889049659 -7327753.101230953619 -112.385405845612 88.116189594350 66.390978493437 11.883810405649 33.609021506562
524288 512 19.545238254407 50.934806980830 46.927966104092 -48.062848562417 -30369563.175327420582 -213.056287108573 2202.300280287479 1771.855443427801 19.545238254407 2.983913665515 4.418067571805 -48.062848562425 -38.810569329015 -13420626.360568408768 -118.922783959413 -39.034207880127 -8759787.502207148477 -119.423141654131 90.397093985762 89.773497899372 9.602906014237 10.226502100627
524288 1024 45.705188333896 57.729080902308 55.744154527899 -60.079740350767 -4858689.352318849218 -277.243693317708 1700.951150957678 923.528223944885 45.705188333896 .728274738701 1.165820310753 -60.079740350796 3.501211213608 -2014587.255489893598 -50.625957731430 3.470582841171 -1214859.486305306789 -50.784855734638 96.431514256822 94.082194961631 3.568485743177 5.917805038368
524288 2048 64.719523765662 63.396979864782 63.674438153364 25.793525001973 -20434277.366714555453 -59.416248058861 1351.100092238378 476.674546944268 64.719523765662 .780651039121 .579293618167 25.793525001993 54.007938381282 -2176929.018331442819 30.112285641388 53.903222509320 -1086678.938441411736 29.888200766527 96.241459021330 93.949510305377 3.758540978669 6.050489694622
524288 4096 82.286716327032 72.230919513212 75.156949561896 63.732145713823 -2481586.850280758738 26.678768852302 1427.948260281676 252.936526046891 82.286716327032 .654069011830 .237216796141 63.732145713905 65.576187151147 -731319.632841878182 51.345251457294 65.508447023491 -387544.362140590921 51.184332048757 95.178347492150 94.930034298764 4.821652507849 5.069965701235
524288 8192 89.164617106885 80.118489472321 83.150693623454 89.127730587441 -2328171.310752604945 78.231380118685 1302.285202044469 141.107588001882 89.164617106885 .869463703166 .094530436252 89.127730587512 84.862079611378 -955010.561812421943 79.380888023257 84.819581678462 -501463.517820195444 79.288968091941 94.049977775313 95.738572991383 5.950022224686 4.261427008616
524288 16384 93.339192486669 87.515634247475 89.698589445405 90.987957102859 -1056521.402306003086 83.177045783114 1260.302943296690 83.946353137834 93.339192486669 .495394692885 .044645182232 90.987957103052 92.176713153057 -549479.838472453056 89.758138365223 92.154834227757 -310397.921061750490 89.710325896766 96.476034851407 95.951886039233 3.523965148592 4.048113960766
524288 32768 95.126925415440 92.418063290064 93.444546664507 91.555968890459 -837681.532596775974 85.415725305625 1172.200824753156 57.122220471048 95.126925415440 .249830729454 .021095784516 91.555968890574 96.078118233780 -279810.843129660796 95.161980406811 96.064930923181 -165839.943778967297 95.135160330549 98.165209581722 96.062832171691 1.834790418277 3.937167828308
524288 65536 96.435048009117 95.064281677583 95.616041337599 93.244129644883 -149558.485061531721 88.848882084121 1166.306544504286 41.578268378097 96.435048009117 .124688110258 .008423767077 93.244129645104 98.108617540687 -56275.495856198596 97.888174983120 98.100378770715 -35742.179175123605 97.870946197780 99.065895798526 96.677923584956 .934104201473 3.322076415043
524288 131072 96.898970092281 96.620969899095 96.733525294090 93.636587794118 -70916.360998687709 89.476222381606 1165.781554537290 36.151234664861 96.898970092282 .062503509675 .003977355963 93.636587795339 99.054601346546 -18813.748291117177 98.993269586391 99.049401430381 -12817.921875567846 98.983313760859 99.529048948576 96.847401453377 .470951051423 3.152598546622
524288 262144 97.048934613329 97.269317909639 97.178336693537 93.448025838706 -81747.167958646836 89.252378417299 1166.543551362628 34.425462964696 97.048934613329 .031251297093 .002047576910 93.448025840634 99.523659233562 -13494.514528741174 99.493230446620 99.520783511562 -8735.993737253140 99.487418727790 99.763129017208 96.761437479184 .236870982791 3.238562520815
524288 524288 97.253319366842 97.721112807191 97.527166171026 93.403583739622 -37525.867598851092 88.876200778792 1165.469929757427 32.011736845916 97.253319366842 .015530204772 .001024436952 93.403583745096 99.761541924621 -8534.747364423110 99.744833830326 99.759720132563 -6087.774843209223 99.741154499966 99.882092721035 96.763085062128 .117907278964 3.236914937871
