FUNCTION;Process;Function;Invocations;Excl. Time (s);Incl. Time (s)
FUNCTION;Process 0(1);131072_2048_100000;1;7.11066448;7.11066448
FUNCTION;Process 0(1);131072_4096_100000;1;7.51193132;7.51193132
FUNCTION;Process 0(1);262144_1_100000;1;10.8299599;10.8299599
FUNCTION;Process 0(1);262144_2_100000;1;10.7922904;10.7922904
FUNCTION;Process 0(1);262144_4_100000;1;10.6947889;10.6947889
FUNCTION;Process 0(1);262144_8_100000;1;10.5135211;10.5135211
FUNCTION;Process 0(1);262144_16_100000;1;10.1567717;10.1567717
FUNCTION;Process 0(1);262144_32_100000;1;10.2355719;10.2355719
FUNCTION;Process 0(1);262144_64_100000;1;10.3895658;10.3895658
FUNCTION;Process 0(1);262144_128_100000;1;10.7048759;10.7048759
FUNCTION;Process 0(1);262144_256_100000;1;10.8574419;10.8574419
FUNCTION;Process 0(1);262144_512_100000;1;11.1487496;11.1487496
FUNCTION;Process 0(1);262144_1024_100000;1;11.5288434;11.5288434
FUNCTION;Process 0(1);262144_2048_100000;1;12.2735689;12.2735689
FUNCTION;Process 0(1);262144_4096_100000;1;13.9793185;13.9793185
FUNCTION;Process 0(1);524288_1_100000;1;20.7173676;20.7173676
FUNCTION;Process 0(1);524288_2_100000;1;20.7088665;20.7088665
FUNCTION;Process 0(1);524288_4_100000;1;20.6834724;20.6834724
FUNCTION;Process 0(1);524288_8_100000;1;20.6345272;20.6345272
FUNCTION;Process 0(1);524288_16_100000;1;20.454549;20.454549
FUNCTION;Process 0(1);524288_32_100000;1;19.7880127;19.7880127
FUNCTION;Process 0(1);524288_64_100000;1;19.9599543;19.9599543
FUNCTION;Process 0(1);524288_128_100000;1;20.2550877;20.2550877
FUNCTION;Process 0(1);524288_256_100000;1;20.8901472;20.8901472
FUNCTION;Process 0(1);524288_512_100000;1;21.3347861;21.3347861
FUNCTION;Process 0(1);524288_1024_100000;1;21.9362034;21.9362034
FUNCTION;Process 0(1);524288_2048_100000;1;22.8217773;22.8217773
FUNCTION;Process 0(1);524288_4096_100000;1;24.2789662;24.2789662
FUNCTION;Process 0(1);1048576_1_100000;1;45.7609234;45.7609234
FUNCTION;Process 0(1);1048576_2_100000;1;40.9133469;40.9133469
FUNCTION;Process 0(1);1048576_4_100000;1;40.8909531;40.8909531
FUNCTION;Process 0(1);1048576_8_100000;1;40.8324552;40.8324552
FUNCTION;Process 0(1);1048576_16_100000;1;40.7203079;40.7203079
FUNCTION;Process 0(1);1048576_32_100000;1;40.4189844;40.4189844
FUNCTION;Process 0(1);1048576_64_100000;1;39.1178574;39.1178574
FUNCTION;Process 0(1);1048576_128_100000;1;39.4181401;39.4181401
FUNCTION;Process 0(1);1048576_256_100000;1;40.0107247;40.0107247
FUNCTION;Process 0(1);1048576_512_100000;1;41.2840736;41.2840736
FUNCTION;Process 0(1);1048576_1024_100000;1;42.4714397;42.4714397
FUNCTION;Process 0(1);1048576_2048_100000;1;43.6687781;43.6687781
FUNCTION;Process 0(1);1048576_4096_100000;1;45.5584246;45.5584246
FUNCTION;Process 0(2);4096_1_100000;1;0.268534187;0.268534187
FUNCTION;Process 0(2);4096_2_100000;1;0.147468201;0.147468201
FUNCTION;Process 0(2);4096_4_100000;1;0.147268363;0.147268363
FUNCTION;Process 0(2);4096_8_100000;1;0.147225834;0.147225834
FUNCTION;Process 0(2);4096_16_100000;1;0.147618472;0.147618472
FUNCTION;Process 0(2);4096_32_100000;1;0.147198253;0.147198253
FUNCTION;Process 0(2);4096_64_100000;1;0.148394311;0.148394311
FUNCTION;Process 0(2);4096_128_100000;1;0.155394169;0.155394169
FUNCTION;Process 0(2);4096_256_100000;1;0.240067148;0.240067148
FUNCTION;Process 0(2);4096_512_100000;1;0.417719096;0.417719096
FUNCTION;Process 0(2);4096_1024_100000;1;0.73918914;0.73918914
FUNCTION;Process 0(2);4096_2048_100000;1;1.48610734;1.48610734
