FUNCTION;Process;Function;Invocations;Excl. Time (s);Incl. Time (s)
COUNTER;Process 0(1);8192_256_100000;PAPI_FP_INS;454873.061;454873.061
COUNTER;Process 0(1);8192_256_100000;PAPI_TOT_INS;3.82633772e+09;3.82633772e+09
COUNTER;Process 0(1);8192_256_100000;PAPI_L3_TCM;3.52017165;3.52017165
COUNTER;Process 0(1);8192_256_100000;PP0_ENERGY:PACKAGE0;1.69822392e+10;1.69822392e+10
COUNTER;Process 0(1);8192_256_100000;DRAM_ENERGY:PACKAGE0;7.78277208e+09;7.78277208e+09
COUNTER;Process 0(1);8192_512_100000;PAPI_FP_INS;292707.555;292707.555
COUNTER;Process 0(1);8192_512_100000;PAPI_TOT_INS;4.24537511e+09;4.24537511e+09
COUNTER;Process 0(1);8192_512_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);8192_512_100000;PP0_ENERGY:PACKAGE0;1.6583282e+10;1.6583282e+10
COUNTER;Process 0(1);8192_512_100000;DRAM_ENERGY:PACKAGE0;7.78917388e+09;7.78917388e+09
COUNTER;Process 0(1);8192_1024_100000;PAPI_FP_INS;161674.16;161674.16
COUNTER;Process 0(1);8192_1024_100000;PAPI_TOT_INS;4.59085269e+09;4.59085269e+09
COUNTER;Process 0(1);8192_1024_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);8192_1024_100000;PP0_ENERGY:PACKAGE0;1.62779833e+10;1.62779833e+10
COUNTER;Process 0(1);8192_1024_100000;DRAM_ENERGY:PACKAGE0;7.76470005e+09;7.76470005e+09
COUNTER;Process 0(1);8192_2048_100000;PAPI_FP_INS;89959.0054;89959.0054
COUNTER;Process 0(1);8192_2048_100000;PAPI_TOT_INS;4.78145883e+09;4.78145883e+09
COUNTER;Process 0(1);8192_2048_100000;PAPI_L3_TCM;1.39102543;1.39102543
COUNTER;Process 0(1);8192_2048_100000;PP0_ENERGY:PACKAGE0;1.60975492e+10;1.60975492e+10
COUNTER;Process 0(1);8192_2048_100000;DRAM_ENERGY:PACKAGE0;7.66684541e+09;7.66684541e+09
COUNTER;Process 0(1);8192_4096_100000;PAPI_FP_INS;44181.9261;44181.9261
COUNTER;Process 0(1);8192_4096_100000;PAPI_TOT_INS;4.90296008e+09;4.90296008e+09
COUNTER;Process 0(1);8192_4096_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);8192_4096_100000;PP0_ENERGY:PACKAGE0;1.59826566e+10;1.59826566e+10
COUNTER;Process 0(1);8192_4096_100000;DRAM_ENERGY:PACKAGE0;6.90301681e+09;6.90301681e+09
COUNTER;Process 0(1);16384_1_100000;PAPI_FP_INS;165291.092;165291.092
COUNTER;Process 0(1);16384_1_100000;PAPI_TOT_INS;4.84051134e+09;4.84051134e+09
COUNTER;Process 0(1);16384_1_100000;PAPI_L3_TCM;7.96907888;7.96907888
COUNTER;Process 0(1);16384_1_100000;PP0_ENERGY:PACKAGE0;1.61431188e+10;1.61431188e+10
COUNTER;Process 0(1);16384_1_100000;DRAM_ENERGY:PACKAGE0;5.16409887e+09;5.16409887e+09
COUNTER;Process 0(1);16384_2_100000;PAPI_FP_INS;163875.971;163875.971
COUNTER;Process 0(1);16384_2_100000;PAPI_TOT_INS;4.84236051e+09;4.84236051e+09
COUNTER;Process 0(1);16384_2_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);16384_2_100000;PP0_ENERGY:PACKAGE0;1.61336283e+10;1.61336283e+10
COUNTER;Process 0(1);16384_2_100000;DRAM_ENERGY:PACKAGE0;4.85667465e+09;4.85667465e+09
COUNTER;Process 0(1);16384_4_100000;PAPI_FP_INS;162636.075;162636.075
COUNTER;Process 0(1);16384_4_100000;PAPI_TOT_INS;4.84380742e+09;4.84380742e+09
COUNTER;Process 0(1);16384_4_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);16384_4_100000;PP0_ENERGY:PACKAGE0;1.61224611e+10;1.61224611e+10
COUNTER;Process 0(1);16384_4_100000;DRAM_ENERGY:PACKAGE0;4.73982166e+09;4.73982166e+09
COUNTER;Process 0(1);16384_8_100000;PAPI_FP_INS;162455.903;162455.903
COUNTER;Process 0(1);16384_8_100000;PAPI_TOT_INS;4.84502276e+09;4.84502276e+09
COUNTER;Process 0(1);16384_8_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);16384_8_100000;PP0_ENERGY:PACKAGE0;1.61507483e+10;1.61507483e+10
COUNTER;Process 0(1);16384_8_100000;DRAM_ENERGY:PACKAGE0;4.94734609e+09;4.94734609e+09
COUNTER;Process 0(1);16384_16_100000;PAPI_FP_INS;159054.514;159054.514
COUNTER;Process 0(1);16384_16_100000;PAPI_TOT_INS;4.84866118e+09;4.84866118e+09
COUNTER;Process 0(1);16384_16_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);16384_16_100000;PP0_ENERGY:PACKAGE0;1.61198198e+10;1.61198198e+10
COUNTER;Process 0(1);16384_16_100000;DRAM_ENERGY:PACKAGE0;4.85238919e+09;4.85238919e+09
COUNTER;Process 0(1);16384_32_100000;PAPI_FP_INS;157010.79;157010.79
COUNTER;Process 0(1);16384_32_100000;PAPI_TOT_INS;4.8502064e+09;4.8502064e+09
COUNTER;Process 0(1);16384_32_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);16384_32_100000;PP0_ENERGY:PACKAGE0;1.61371578e+10;1.61371578e+10
COUNTER;Process 0(1);16384_32_100000;DRAM_ENERGY:PACKAGE0;4.80676534e+09;4.80676534e+09
COUNTER;Process 0(1);16384_64_100000;PAPI_FP_INS;154814.217;154814.217
COUNTER;Process 0(1);16384_64_100000;PAPI_TOT_INS;4.85404427e+09;4.85404427e+09
COUNTER;Process 0(1);16384_64_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);16384_64_100000;PP0_ENERGY:PACKAGE0;1.6156533e+10;1.6156533e+10
COUNTER;Process 0(1);16384_64_100000;DRAM_ENERGY:PACKAGE0;4.81094449e+09;4.81094449e+09
COUNTER;Process 0(1);16384_128_100000;PAPI_FP_INS;149079.831;149079.831
COUNTER;Process 0(1);16384_128_100000;PAPI_TOT_INS;4.86003232e+09;4.86003232e+09
COUNTER;Process 0(1);16384_128_100000;PAPI_L3_TCM;0.797777219;0.797777219
COUNTER;Process 0(1);16384_128_100000;PP0_ENERGY:PACKAGE0;1.61511298e+10;1.61511298e+10
COUNTER;Process 0(1);16384_128_100000;DRAM_ENERGY:PACKAGE0;4.84644548e+09;4.84644548e+09
COUNTER;Process 0(1);16384_256_100000;PAPI_FP_INS;138147.517;138147.517
COUNTER;Process 0(1);16384_256_100000;PAPI_TOT_INS;4.87210607e+09;4.87210607e+09
COUNTER;Process 0(1);16384_256_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);16384_256_100000;PP0_ENERGY:PACKAGE0;1.61395255e+10;1.61395255e+10
COUNTER;Process 0(1);16384_256_100000;DRAM_ENERGY:PACKAGE0;4.43908867e+09;4.43908867e+09
COUNTER;Process 0(1);16384_512_100000;PAPI_FP_INS;133049.739;133049.739
COUNTER;Process 0(1);16384_512_100000;PAPI_TOT_INS;4.87752796e+09;4.87752796e+09
COUNTER;Process 0(1);16384_512_100000;PAPI_L3_TCM;0.712692642;0.712692642
COUNTER;Process 0(1);16384_512_100000;PP0_ENERGY:PACKAGE0;1.61302172e+10;1.61302172e+10
COUNTER;Process 0(1);16384_512_100000;DRAM_ENERGY:PACKAGE0;4.53732569e+09;4.53732569e+09
COUNTER;Process 0(1);16384_1024_100000;PAPI_FP_INS;104666.837;104666.837
COUNTER;Process 0(1);16384_1024_100000;PAPI_TOT_INS;4.90811063e+09;4.90811063e+09
COUNTER;Process 0(1);16384_1024_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);16384_1024_100000;PP0_ENERGY:PACKAGE0;1.60978171e+10;1.60978171e+10
COUNTER;Process 0(1);16384_1024_100000;DRAM_ENERGY:PACKAGE0;4.90326288e+09;4.90326288e+09
COUNTER;Process 0(1);16384_2048_100000;PAPI_FP_INS;74730.9359;74730.9359
COUNTER;Process 0(1);16384_2048_100000;PAPI_TOT_INS;4.94057508e+09;4.94057508e+09
COUNTER;Process 0(1);16384_2048_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);16384_2048_100000;PP0_ENERGY:PACKAGE0;1.60740337e+10;1.60740337e+10
COUNTER;Process 0(1);16384_2048_100000;DRAM_ENERGY:PACKAGE0;4.90462691e+09;4.90462691e+09
COUNTER;Process 0(1);16384_4096_100000;PAPI_FP_INS;48662.5167;48662.5167
COUNTER;Process 0(1);16384_4096_100000;PAPI_TOT_INS;4.96824436e+09;4.96824436e+09
COUNTER;Process 0(1);16384_4096_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);16384_4096_100000;PP0_ENERGY:PACKAGE0;1.60373772e+10;1.60373772e+10
COUNTER;Process 0(1);16384_4096_100000;DRAM_ENERGY:PACKAGE0;4.66888359e+09;4.66888359e+09
COUNTER;Process 0(1);32768_1_100000;PAPI_FP_INS;104919.842;104919.842
COUNTER;Process 0(1);32768_1_100000;PAPI_TOT_INS;4.90673598e+09;4.90673598e+09
COUNTER;Process 0(1);32768_1_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_1_100000;PP0_ENERGY:PACKAGE0;1.62566012e+10;1.62566012e+10
COUNTER;Process 0(1);32768_1_100000;DRAM_ENERGY:PACKAGE0;4.72015523e+09;4.72015523e+09
COUNTER;Process 0(1);32768_2_100000;PAPI_FP_INS;106699.349;106699.349
COUNTER;Process 0(1);32768_2_100000;PAPI_TOT_INS;4.90414058e+09;4.90414058e+09
COUNTER;Process 0(1);32768_2_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_2_100000;PP0_ENERGY:PACKAGE0;1.62541664e+10;1.62541664e+10
COUNTER;Process 0(1);32768_2_100000;DRAM_ENERGY:PACKAGE0;4.73172215e+09;4.73172215e+09
COUNTER;Process 0(1);32768_4_100000;PAPI_FP_INS;106807.751;106807.751
COUNTER;Process 0(1);32768_4_100000;PAPI_TOT_INS;4.90446711e+09;4.90446711e+09
COUNTER;Process 0(1);32768_4_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_4_100000;PP0_ENERGY:PACKAGE0;1.62448663e+10;1.62448663e+10
COUNTER;Process 0(1);32768_4_100000;DRAM_ENERGY:PACKAGE0;4.78522566e+09;4.78522566e+09
COUNTER;Process 0(1);32768_8_100000;PAPI_FP_INS;105600.969;105600.969
COUNTER;Process 0(1);32768_8_100000;PAPI_TOT_INS;4.90613186e+09;4.90613186e+09
COUNTER;Process 0(1);32768_8_100000;PAPI_L3_TCM;1.13999912;1.13999912
COUNTER;Process 0(1);32768_8_100000;PP0_ENERGY:PACKAGE0;1.62571205e+10;1.62571205e+10
COUNTER;Process 0(1);32768_8_100000;DRAM_ENERGY:PACKAGE0;4.8940415e+09;4.8940415e+09
COUNTER;Process 0(1);32768_16_100000;PAPI_FP_INS;104289.506;104289.506
COUNTER;Process 0(1);32768_16_100000;PAPI_TOT_INS;4.90816919e+09;4.90816919e+09
COUNTER;Process 0(1);32768_16_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_16_100000;PP0_ENERGY:PACKAGE0;1.62605612e+10;1.62605612e+10
COUNTER;Process 0(1);32768_16_100000;DRAM_ENERGY:PACKAGE0;4.82616645e+09;4.82616645e+09
COUNTER;Process 0(1);32768_32_100000;PAPI_FP_INS;102424.053;102424.053
COUNTER;Process 0(1);32768_32_100000;PAPI_TOT_INS;4.91017004e+09;4.91017004e+09
COUNTER;Process 0(1);32768_32_100000;PAPI_L3_TCM;0.549995719;0.549995719
COUNTER;Process 0(1);32768_32_100000;PP0_ENERGY:PACKAGE0;1.62676323e+10;1.62676323e+10
COUNTER;Process 0(1);32768_32_100000;DRAM_ENERGY:PACKAGE0;4.79310158e+09;4.79310158e+09
COUNTER;Process 0(1);32768_64_100000;PAPI_FP_INS;101196.629;101196.629
COUNTER;Process 0(1);32768_64_100000;PAPI_TOT_INS;4.91171271e+09;4.91171271e+09
COUNTER;Process 0(1);32768_64_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_64_100000;PP0_ENERGY:PACKAGE0;1.62886489e+10;1.62886489e+10
COUNTER;Process 0(1);32768_64_100000;DRAM_ENERGY:PACKAGE0;4.80824461e+09;4.80824461e+09
COUNTER;Process 0(1);32768_128_100000;PAPI_FP_INS;98604.3815;98604.3815
COUNTER;Process 0(1);32768_128_100000;PAPI_TOT_INS;4.91401548e+09;4.91401548e+09
COUNTER;Process 0(1);32768_128_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_128_100000;PP0_ENERGY:PACKAGE0;1.62594308e+10;1.62594308e+10
COUNTER;Process 0(1);32768_128_100000;DRAM_ENERGY:PACKAGE0;4.94294984e+09;4.94294984e+09
COUNTER;Process 0(1);32768_256_100000;PAPI_FP_INS;94178.9311;94178.9311
COUNTER;Process 0(1);32768_256_100000;PAPI_TOT_INS;4.9191461e+09;4.9191461e+09
COUNTER;Process 0(1);32768_256_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_256_100000;PP0_ENERGY:PACKAGE0;1.62420023e+10;1.62420023e+10
COUNTER;Process 0(1);32768_256_100000;DRAM_ENERGY:PACKAGE0;4.81248752e+09;4.81248752e+09
COUNTER;Process 0(1);32768_512_100000;PAPI_FP_INS;85180.4672;85180.4672
COUNTER;Process 0(1);32768_512_100000;PAPI_TOT_INS;4.92863203e+09;4.92863203e+09
COUNTER;Process 0(1);32768_512_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_512_100000;PP0_ENERGY:PACKAGE0;1.62262946e+10;1.62262946e+10
COUNTER;Process 0(1);32768_512_100000;DRAM_ENERGY:PACKAGE0;4.81805585e+09;4.81805585e+09
COUNTER;Process 0(1);32768_1024_100000;PAPI_FP_INS;81319.3298;81319.3298
COUNTER;Process 0(1);32768_1024_100000;PAPI_TOT_INS;4.93309754e+09;4.93309754e+09
COUNTER;Process 0(1);32768_1024_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_1024_100000;PP0_ENERGY:PACKAGE0;1.62332578e+10;1.62332578e+10
COUNTER;Process 0(1);32768_1024_100000;DRAM_ENERGY:PACKAGE0;4.80589508e+09;4.80589508e+09
COUNTER;Process 0(1);32768_2048_100000;PAPI_FP_INS;60986.6302;60986.6302
COUNTER;Process 0(1);32768_2048_100000;PAPI_TOT_INS;4.95481054e+09;4.95481054e+09
COUNTER;Process 0(1);32768_2048_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_2048_100000;PP0_ENERGY:PACKAGE0;1.61836431e+10;1.61836431e+10
COUNTER;Process 0(1);32768_2048_100000;DRAM_ENERGY:PACKAGE0;4.89069816e+09;4.89069816e+09
COUNTER;Process 0(1);32768_4096_100000;PAPI_FP_INS;40986.0175;40986.0175
COUNTER;Process 0(1);32768_4096_100000;PAPI_TOT_INS;4.97614548e+09;4.97614548e+09
COUNTER;Process 0(1);32768_4096_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);32768_4096_100000;PP0_ENERGY:PACKAGE0;1.61259249e+10;1.61259249e+10
COUNTER;Process 0(1);32768_4096_100000;DRAM_ENERGY:PACKAGE0;5.36118765e+09;5.36118765e+09
COUNTER;Process 0(1);65536_1_100000;PAPI_FP_INS;61107.8802;61107.8802
COUNTER;Process 0(1);65536_1_100000;PAPI_TOT_INS;4.95483116e+09;4.95483116e+09
COUNTER;Process 0(1);65536_1_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_1_100000;PP0_ENERGY:PACKAGE0;1.63271574e+10;1.63271574e+10
COUNTER;Process 0(1);65536_1_100000;DRAM_ENERGY:PACKAGE0;5.09313602e+09;5.09313602e+09
COUNTER;Process 0(1);65536_2_100000;PAPI_FP_INS;61064.5709;61064.5709
COUNTER;Process 0(1);65536_2_100000;PAPI_TOT_INS;4.95378827e+09;4.95378827e+09
COUNTER;Process 0(1);65536_2_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_2_100000;PP0_ENERGY:PACKAGE0;1.63272553e+10;1.63272553e+10
COUNTER;Process 0(1);65536_2_100000;DRAM_ENERGY:PACKAGE0;5.02997186e+09;5.02997186e+09
COUNTER;Process 0(1);65536_4_100000;PAPI_FP_INS;62424.9695;62424.9695
COUNTER;Process 0(1);65536_4_100000;PAPI_TOT_INS;4.95258842e+09;4.95258842e+09
COUNTER;Process 0(1);65536_4_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_4_100000;PP0_ENERGY:PACKAGE0;1.63249342e+10;1.63249342e+10
COUNTER;Process 0(1);65536_4_100000;DRAM_ENERGY:PACKAGE0;5.12926764e+09;5.12926764e+09
COUNTER;Process 0(1);65536_8_100000;PAPI_FP_INS;62523.9925;62523.9925
COUNTER;Process 0(1);65536_8_100000;PAPI_TOT_INS;4.95226137e+09;4.95226137e+09
COUNTER;Process 0(1);65536_8_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_8_100000;PP0_ENERGY:PACKAGE0;1.63453144e+10;1.63453144e+10
COUNTER;Process 0(1);65536_8_100000;DRAM_ENERGY:PACKAGE0;5.16799797e+09;5.16799797e+09
COUNTER;Process 0(1);65536_16_100000;PAPI_FP_INS;62024.4536;62024.4536
COUNTER;Process 0(1);65536_16_100000;PAPI_TOT_INS;4.95297672e+09;4.95297672e+09
COUNTER;Process 0(1);65536_16_100000;PAPI_L3_TCM;0.33596831;0.33596831
COUNTER;Process 0(1);65536_16_100000;PP0_ENERGY:PACKAGE0;1.6342739e+10;1.6342739e+10
COUNTER;Process 0(1);65536_16_100000;DRAM_ENERGY:PACKAGE0;5.14781619e+09;5.14781619e+09
COUNTER;Process 0(1);65536_32_100000;PAPI_FP_INS;60827.0168;60827.0168
COUNTER;Process 0(1);65536_32_100000;PAPI_TOT_INS;4.95437929e+09;4.95437929e+09
COUNTER;Process 0(1);65536_32_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_32_100000;PP0_ENERGY:PACKAGE0;1.63508942e+10;1.63508942e+10
COUNTER;Process 0(1);65536_32_100000;DRAM_ENERGY:PACKAGE0;5.43768829e+09;5.43768829e+09
COUNTER;Process 0(1);65536_64_100000;PAPI_FP_INS;59157.0607;59157.0607
COUNTER;Process 0(1);65536_64_100000;PAPI_TOT_INS;4.9557265e+09;4.9557265e+09
COUNTER;Process 0(1);65536_64_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_64_100000;PP0_ENERGY:PACKAGE0;1.63520383e+10;1.63520383e+10
COUNTER;Process 0(1);65536_64_100000;DRAM_ENERGY:PACKAGE0;5.20024951e+09;5.20024951e+09
COUNTER;Process 0(1);65536_128_100000;PAPI_FP_INS;58363.4277;58363.4277
COUNTER;Process 0(1);65536_128_100000;PAPI_TOT_INS;4.95687893e+09;4.95687893e+09
COUNTER;Process 0(1);65536_128_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_128_100000;PP0_ENERGY:PACKAGE0;1.63378028e+10;1.63378028e+10
COUNTER;Process 0(1);65536_128_100000;DRAM_ENERGY:PACKAGE0;5.2886773e+09;5.2886773e+09
COUNTER;Process 0(1);65536_256_100000;PAPI_FP_INS;56616.1253;56616.1253
COUNTER;Process 0(1);65536_256_100000;PAPI_TOT_INS;4.95881872e+09;4.95881872e+09
COUNTER;Process 0(1);65536_256_100000;PAPI_L3_TCM;0.308442294;0.308442294
COUNTER;Process 0(1);65536_256_100000;PP0_ENERGY:PACKAGE0;1.63335011e+10;1.63335011e+10
COUNTER;Process 0(1);65536_256_100000;DRAM_ENERGY:PACKAGE0;5.30333335e+09;5.30333335e+09
COUNTER;Process 0(1);65536_512_100000;PAPI_FP_INS;53828.9473;53828.9473
COUNTER;Process 0(1);65536_512_100000;PAPI_TOT_INS;4.96194567e+09;4.96194567e+09
COUNTER;Process 0(1);65536_512_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_512_100000;PP0_ENERGY:PACKAGE0;1.63245444e+10;1.63245444e+10
COUNTER;Process 0(1);65536_512_100000;DRAM_ENERGY:PACKAGE0;5.30973026e+09;5.30973026e+09
COUNTER;Process 0(1);65536_1024_100000;PAPI_FP_INS;48068.9302;48068.9302
COUNTER;Process 0(1);65536_1024_100000;PAPI_TOT_INS;4.96758821e+09;4.96758821e+09
COUNTER;Process 0(1);65536_1024_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_1024_100000;PP0_ENERGY:PACKAGE0;1.63051011e+10;1.63051011e+10
COUNTER;Process 0(1);65536_1024_100000;DRAM_ENERGY:PACKAGE0;5.51679088e+09;5.51679088e+09
COUNTER;Process 0(1);65536_2048_100000;PAPI_FP_INS;45389.8376;45389.8376
COUNTER;Process 0(1);65536_2048_100000;PAPI_TOT_INS;4.97052943e+09;4.97052943e+09
COUNTER;Process 0(1);65536_2048_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_2048_100000;PP0_ENERGY:PACKAGE0;1.62873783e+10;1.62873783e+10
COUNTER;Process 0(1);65536_2048_100000;DRAM_ENERGY:PACKAGE0;5.47863605e+09;5.47863605e+09
COUNTER;Process 0(1);65536_4096_100000;PAPI_FP_INS;32749.6017;32749.6017
COUNTER;Process 0(1);65536_4096_100000;PAPI_TOT_INS;4.98381321e+09;4.98381321e+09
COUNTER;Process 0(1);65536_4096_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);65536_4096_100000;PP0_ENERGY:PACKAGE0;1.62105531e+10;1.62105531e+10
COUNTER;Process 0(1);65536_4096_100000;DRAM_ENERGY:PACKAGE0;5.49685924e+09;5.49685924e+09
COUNTER;Process 0(1);131072_1_100000;PAPI_FP_INS;31825.5535;31825.5535
COUNTER;Process 0(1);131072_1_100000;PAPI_TOT_INS;4.98444388e+09;4.98444388e+09
COUNTER;Process 0(1);131072_1_100000;PAPI_L3_TCM;0.354114989;0.354114989
COUNTER;Process 0(1);131072_1_100000;PP0_ENERGY:PACKAGE0;1.63603735e+10;1.63603735e+10
COUNTER;Process 0(1);131072_1_100000;DRAM_ENERGY:PACKAGE0;5.54702522e+09;5.54702522e+09
COUNTER;Process 0(1);131072_2_100000;PAPI_FP_INS;32101.8757;32101.8757
COUNTER;Process 0(1);131072_2_100000;PAPI_TOT_INS;4.98403226e+09;4.98403226e+09
COUNTER;Process 0(1);131072_2_100000;PAPI_L3_TCM;0.357098171;0.357098171
COUNTER;Process 0(1);131072_2_100000;PP0_ENERGY:PACKAGE0;1.63727381e+10;1.63727381e+10
COUNTER;Process 0(1);131072_2_100000;DRAM_ENERGY:PACKAGE0;5.36027588e+09;5.36027588e+09
COUNTER;Process 0(1);131072_4_100000;PAPI_FP_INS;33003.6425;33003.6425
COUNTER;Process 0(1);131072_4_100000;PAPI_TOT_INS;4.98329865e+09;4.98329865e+09
COUNTER;Process 0(1);131072_4_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);131072_4_100000;PP0_ENERGY:PACKAGE0;1.63711653e+10;1.63711653e+10
COUNTER;Process 0(1);131072_4_100000;DRAM_ENERGY:PACKAGE0;5.36478364e+09;5.36478364e+09
COUNTER;Process 0(1);131072_8_100000;PAPI_FP_INS;33803.0989;33803.0989
COUNTER;Process 0(1);131072_8_100000;PAPI_TOT_INS;4.9826087e+09;4.9826087e+09
COUNTER;Process 0(1);131072_8_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);131072_8_100000;PP0_ENERGY:PACKAGE0;1.63785782e+10;1.63785782e+10
COUNTER;Process 0(1);131072_8_100000;DRAM_ENERGY:PACKAGE0;5.36906819e+09;5.36906819e+09
COUNTER;Process 0(1);131072_16_100000;PAPI_FP_INS;33367.9867;33367.9867
COUNTER;Process 0(1);131072_16_100000;PAPI_TOT_INS;4.98250251e+09;4.98250251e+09
COUNTER;Process 0(1);131072_16_100000;PAPI_L3_TCM;0.185820576;0.185820576
COUNTER;Process 0(1);131072_16_100000;PP0_ENERGY:PACKAGE0;1.63834284e+10;1.63834284e+10
COUNTER;Process 0(1);131072_16_100000;DRAM_ENERGY:PACKAGE0;5.37003772e+09;5.37003772e+09
COUNTER;Process 0(1);131072_32_100000;PAPI_FP_INS;33059.0759;33059.0759
COUNTER;Process 0(1);131072_32_100000;PAPI_TOT_INS;4.98339884e+09;4.98339884e+09
COUNTER;Process 0(1);131072_32_100000;PAPI_L3_TCM;0.366453756;0.366453756
COUNTER;Process 0(1);131072_32_100000;PP0_ENERGY:PACKAGE0;1.63787344e+10;1.63787344e+10
COUNTER;Process 0(1);131072_32_100000;DRAM_ENERGY:PACKAGE0;5.30982187e+09;5.30982187e+09
COUNTER;Process 0(1);131072_64_100000;PAPI_FP_INS;32140.2808;32140.2808
COUNTER;Process 0(1);131072_64_100000;PAPI_TOT_INS;4.98412345e+09;4.98412345e+09
COUNTER;Process 0(1);131072_64_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);131072_64_100000;PP0_ENERGY:PACKAGE0;1.63678777e+10;1.63678777e+10
COUNTER;Process 0(1);131072_64_100000;DRAM_ENERGY:PACKAGE0;5.3086039e+09;5.3086039e+09
COUNTER;Process 0(1);131072_128_100000;PAPI_FP_INS;31691.0723;31691.0723
COUNTER;Process 0(1);131072_128_100000;PAPI_TOT_INS;4.98481711e+09;4.98481711e+09
COUNTER;Process 0(1);131072_128_100000;PAPI_L3_TCM;0.175845613;0.175845613
COUNTER;Process 0(1);131072_128_100000;PP0_ENERGY:PACKAGE0;1.63743053e+10;1.63743053e+10
COUNTER;Process 0(1);131072_128_100000;DRAM_ENERGY:PACKAGE0;5.05994303e+09;5.05994303e+09
COUNTER;Process 0(1);131072_256_100000;PAPI_FP_INS;30960.3116;30960.3116
COUNTER;Process 0(1);131072_256_100000;PAPI_TOT_INS;4.9852034e+09;4.9852034e+09
COUNTER;Process 0(1);131072_256_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);131072_256_100000;PP0_ENERGY:PACKAGE0;1.63557242e+10;1.63557242e+10
COUNTER;Process 0(1);131072_256_100000;DRAM_ENERGY:PACKAGE0;5.3059614e+09;5.3059614e+09
COUNTER;Process 0(1);131072_512_100000;PAPI_FP_INS;30031.6144;30031.6144
COUNTER;Process 0(1);131072_512_100000;PAPI_TOT_INS;4.98691779e+09;4.98691779e+09
COUNTER;Process 0(1);131072_512_100000;PAPI_L3_TCM;0;0
COUNTER;Process 0(1);131072_512_100000;PP0_ENERGY:PACKAGE0;1.63432307e+10;1.63432307e+10
COUNTER;Process 0(1);131072_512_100000;DRAM_ENERGY:PACKAGE0;5.10493152e+09;5.10493152e+09
COUNTER;Process 0(1);131072_1024_100000;PAPI_FP_INS;28366.6625;28366.6625
COUNTER;Process 0(1);131072_1024_100000;PAPI_TOT_INS;4.98820306e+09;4.98820306e+09
COUNTER;Process 0(1);131072_1024_100000;PAPI_L3_TCM;0.158786112;0.158786112
COUNTER;Process 0(1);131072_1024_100000;PP0_ENERGY:PACKAGE0;1.63234429e+10;1.63234429e+10
COUNTER;Process 0(1);131072_1024_100000;DRAM_ENERGY:PACKAGE0;5.33903763e+09;5.33903763e+09
COUNTER;Process 0(1);131072_2048_100000;PAPI_FP_INS;25000.8984;25000.8984
COUNTER;Process 0(1);131072_2048_100000;PAPI_TOT_INS;4.99106893e+09;4.99106893e+09
COUNTER;Process 0(1);131072_2048_100000;PAPI_L3_TCM;0.562535332;0.562535332
COUNTER;Process 0(1);131072_2048_100000;PP0_ENERGY:PACKAGE0;1.62918317e+10;1.62918317e+10
