




32 2 218.200000000000 255.200000000000 94.100000000000 71.400000000000 12.400000000000 24.000000000000        1


128 2 218.200000000000 255.900000000000 105.400000000000 77.800000000000 21.100000000000 25.100000000000        1
128 128 218.200000000000 255.500000000000 85.900000000000 76.900000000000 10.700000000000 22.300000000000        1

256 128 218.200000000000 255.700000000000 89.400000000000 75.400000000000 13.000000000000 22.200000000000        1
256 256 218.200000000000 256.000000000000 105.900000000000 77.700000000000 19.500000000000 20.900000000000        1

512 128 218.200000000000 255.600000000000 88.800000000000 75.400000000000 21.100000000000 18.500000000000        1
512 256 218.200000000000 255.100000000000 91.300000000000 73.800000000000 14.900000000000 21.600000000000        1
512 512 218.200000000000 255.100000000000 91.800000000000 76.200000000000 21.600000000000 17.400000000000 0 0 0 0 0 0  2

1024 2 218.200000000000 261.200000000000 89.800000000000 72.900000000000 21.600000000000 22.800000000000        1
1024 128 218.200000000000 255.600000000000 90.400000000000 76.700000000000 27.900000000000 15.300000000000        1
1024 256 218.200000000000 255.900000000000 87.800000000000 75.500000000000 17.900000000000 25.400000000000        1
1024 512 218.200000000000 255.100000000000 91.950000000000 74.000000000000 18.650000000000 20.000000000000 0 0 .494974746830 .424264068711 7.707463914933 1.414213562373  2
1024 1024 228.100000000000 267.125000000000 93.675000000000 75.350000000000 23.475000000000 21.600000000000 0 10.752480334012 6.051652666834 1.502220578565 6.117938105821 2.699382645470  4

2048 2 218.200000000000 276.200000000000 92.300000000000 74.900000000000 25.700000000000 17.500000000000        1
2048 128 218.200000000000 255.700000000000 88.800000000000 74.600000000000 13.000000000000 27.100000000000        1
2048 256 218.200000000000 256.200000000000 104.900000000000 78.500000000000 30.900000000000 16.900000000000        1
2048 512 218.200000000000 255.100000000000 90.400000000000 71.400000000000 35.900000000000 19.900000000000 0 0 0 0 0 0  2
2048 1024 218.200000000000 267.075000000000 93.375000000000 75.950000000000 16.300000000000 22.225000000000 0 10.918905622817 7.236654383530 2.251666049839 9.453041838477 4.239005386487  4
2048 2048 228.100000000000 276.500000000000 90.700000000000 74.800000000000 22.500000000000 23.200000000000        1

4096 2 218.200000000000 258.700000000000 92.700000000000 74.700000000000 21.100000000000 20.400000000000        1
4096 128 218.200000000000 256.200000000000 88.000000000000 74.300000000000 4.100000000000 24.400000000000        1
4096 256 218.200000000000 256.500000000000 88.100000000000 73.600000000000 6.200000000000 19.600000000000        1
4096 512 218.200000000000 255.400000000000 89.750000000000 73.750000000000 24.400000000000 18.700000000000 0 0 .777817459305 1.343502884254 11.596551211459 .282842712474  2
4096 1024 218.200000000000 260.800000000000 87.800000000000 73.425000000000 19.025000000000 24.300000000000 0 10.336021155809 .583095189484 2.168524844220 9.061042986323 .346410161513  4
4096 2048 228.100000000000 276.300000000000 94.100000000000 74.800000000000 26.900000000000 22.000000000000        1
4096 4096 218.200000000000 255.800000000000 91.750000000000 76.100000000000 18.800000000000 18.650000000000 0 .141421356237 .070710678118 3.394112549695 8.202438661763 1.767766952966  2

