524288 1 10000	    0.001176770115	1412014255140	1412014266909
524288 2 10000	    0.001160877322	1412014380831	1412014392441
524288 4 10000	    0.001172804329	1412014504558	1412014516287
524288 8 10000	    0.001169082305	1412014629831	1412014641523
524288 16 10000	    0.001182084789	1412014754421	1412014766243
524288 32 10000	    0.001209316136	1412014880443	1412014892537
524288 64 10000	    0.001236205213	1412015009382	1412015021746
524288 128 100000	0.001233905551	1412015141161	1412015153501
524288 256 100000	0.001256081341	1412015272915	1412015285477
524288 512 100000	0.001181554723	1412015406837	1412015418653
524288 1024 10000	0.001190572771	1412015532955	1412015544861
524288 2048 10000	0.001193503817	1412015659866	1412015671802
524288 4096 10000	0.001236444162	1412015787199	1412015799565
524288 8192 8000	0.001307759213	1412015919141	1412015929604
524288 16384 8000	0.001297878006	1412016030771	1412016041155
524288 32768 8000	0.001413035045	1412016141651	1412016152957
524288 65536 8000	0.001689008678	1412016262100	1412016275614
524288 131072 4000	0.002281831417	1412016406236	1412016415364
524288 262144 4000	0.003543783086	1412016503572	1412016517749
524288 524288 2000	0.005633490727	1412016654723	1412016665991
