#1.Msg_size 2.Frags   3.Timer_active 4.Timer_passive 5.Timer_tot   6.Power_cpu_active 7.Power_cpu_passive 8.Power_cpu_tot   9.Energy_cpu_active 10.Energy_cpu_passive 11.Energy_cpu_tot   12.Power_dram_active 13.Power_dram_passive 14.Power_dram_tot   15.Energy_dram_active 16.Energy_dram_passive 17.Energy_dram_tot   18.Power_blade_active 19.Power_blade_passive 20.Power_blade_tot   21.Energy_blade_active 22.Energy_blade_passive 23.Energy_blade_tot   24.Edprod_impact 25.Edprod_ini 26.Edprod_final   27.Msg_rate_impact 28.Msg_rate_ini 29.Msg_rate_final   30.Bw_impact 31.Bw_ini 32.Bw_final
524288 1 19.743694369128 17.219634580467 19.743694369128 1.952490892083 .580692242146 1.251310653274 21.310691390226 17.700333755577 19.699235670913 3.833455742402 -3.653972515180 .299470751983 22.820284291947 14.194862787744 19.300999923079 1.344383184487 -.027139497014 .655420976638 20.822646607517 17.197168421196 19.235942256626 35.515394094183 .000092700810 .000059777752 -24.600801412335 699.006752785491 870.968015897068 -24.600801412335 366480852.404399810210 456638079.118642241480
524288 2 18.196272942996 15.682716709839 18.196272942996 1.215814455077 2.226853883282 1.732455060062 19.190854477493 17.560339435179 18.463218689805 19.762339537199 21.580078677919 20.584372641346 34.362603236636 33.878452801076 34.174262611070 1.240654946217 -.706554192719 .263008079090 19.211174922453 15.086969437630 17.407012530359 35.004579762980 .000092537540 .000060145163 -22.243818952548 1411.552657792278 1725.535875411478 -22.243818952548 370030059.924299150854 452338876.523866566122
524288 4 16.357493568216 14.090633541794 16.357493568216 -.777330793470 2.121660086788 .713075682986 15.707314606830 15.913338295644 15.799994550543 20.751501386770 13.780969853379 17.767339426349 33.714569444312 25.929777439267 30.861510511310 1.168241437486 -.277510647067 .442693556916 17.334639984455 13.852225918420 15.810252531908 31.110971571825 .000089835314 .000061886675 -19.556436393447 2837.391577779233 3392.284256920659 -19.556436393447 371902588.882679722437 444633482.123104659123
524288 8 16.239896340054 13.780848910977 16.239896340054 .688544890646 .805539604080 .748178870659 16.816622291660 14.475378320132 15.776416252916 37.944936531467 29.272562880148 34.130714119799 48.022614540778 39.019404113545 44.633116179920 .127860092031 -.298391459934 -.085969063536 16.346992124676 13.523578327127 15.115009169254 33.307974927710 .000100793666 .000067221337 -19.388581950645 5487.748410288804 6551.745008062913 -19.388581950645 359645079.816687087470 429375160.848411078417
524288 16 17.442234657089 14.265851276268 17.442234657089 -.432177738538 -.250745323000 -.339544044599 17.085438396467 14.050876845449 15.738298386400 27.769517592956 26.114415103691 26.983254471209 40.368127844056 36.654822725518 38.848725752676 1.047343583498 -.147924325318 .447172649295 18.306898136569 14.139029553289 16.491343372453 32.927270201815 .000102548504 .000068782081 -21.127309568811 10655.952284244063 12907.268310841131 -21.127309568811 349174244.450109489077 422945368.009642200543
524288 32 18.001923160099 15.262693463221 18.001923160099 .622098754253 -1.554386807729 -.486960309488 18.512032175747 13.945547946573 16.478309939223 26.039529431654 41.939862429978 35.213144720712 39.353836510747 50.801403251066 45.227949416926 .872981714160 -.017423610500 .425842090505 18.717751379117 15.247929161733 17.197729711607 34.945166956960 .000112782360 .000073370376 -21.954079722195 20525.749498223999 25031.988906642314 -21.954079722195 336293879.778902014414 410124106.246427676062
524288 64 17.588727711531 14.606083152959 17.588727711531 2.000445927956 -.342599469996 .816208004684 19.237320616408 14.313523994920 17.057634251565 30.663682809275 4.855386760031 18.449101920988 42.859058824438 18.752288041986 32.946087593775 .890794021523 -.185578670532 .350454571137 18.322842361863 14.447610207545 16.620432918954 33.254881210951 .000126311433 .000084306716 -21.342623676484 38525.775608168224 46748.186914666499 -21.342623676484 315603153.782114097819 382961147.204947963672
524288 128 16.247939342495 13.724193881342 16.247939342495 1.116348815415 1.580153553109 1.352117356445 17.182904493024 15.087484094904 16.239371339248 10.744913126236 -10.588935157654 -1.082438337925 25.247025517012 4.588504722702 14.992301408631 .647998244400 -.231202293087 .207109426713 16.790651237453 13.524722237799 15.342243883225 29.730398821334 .000155915305 .000109561063 -19.400047252496 69171.840667208748 82591.210442068679 -19.400047252496 283327859.372887033317 338293597.970713311635
524288 256 13.765635716757 11.504761747730 13.765635716757 .942883617996 1.389146763441 1.169149708683 14.578725421305 12.734090527055 13.741147822839 26.225240497860 -8.309066620536 9.326836599137 36.380805153904 4.151633483120 22.310473246087 .633920964946 .077086459845 .354538191717 14.312293440060 11.572979635220 13.082831966370 26.560168938338 .000230989841 .000169638549 -15.963051193307 115613.556054533326 134069.007193921397 -15.963051193307 236776562.799684252694 274573326.733151022980
524288 512 7.469271594802 5.657943007477 7.469271594802 1.282159245635 .070105377255 .671071618721 8.655662897091 5.724081862128 7.308583432667 18.866392023163 23.238350371904 21.294639940796 24.926481565257 27.581480761710 26.282875357440 .587576101311 -.238410559709 .174733890563 8.012960053858 5.433021580205 6.838624882108 16.612283261231 .000332372529 .000277157863 -8.072206631827 195152.822849143821 210905.961957370812 -8.072206631827 199836490.597523273445 215967705.044347711527
