524288 1	10000	0.001104709225	1411950111780	1411950122828
524288 2	10000	0.001084197813	1411950229647	1411950240490
524288 4	10000	0.001103885198	1411950345376	1411950356416
524288 8	10000	0.001115160685	1411950463313	1411950474465
524288 16	10000	0.001150222795	1411950582337	1411950593841
524288 32	4000	0.001206602803	1411950705091	1411950709918
524288 64	4000	0.001295819337	1411950756607	1411950761790
524288 128	4000	0.001468373902	1411950811924	1411950817798
524288 256	4000	0.001797625442	1411950874489	1411950881680
524288 512	4000	0.002199888248	1411950950943	1411950959744
524288 1024	4000	0.003172583134	1411951045070	1411951057762
524288 2048	1000	0.005071766090	1411951180367	1411951185439
524288 4096	1000	0.006912514553	1411951234536	1411951241449
524288 8192	1000	0.012287305203	1411951308409	1411951320698
524288 16384	400	0.023108536873	1411951439394	1411951448638
524288 32768	400	0.044110234117	1411951537926	1411951555572
524288 65536	40	0.087248082908	1411951713961	1411951717451
524288 131072	40	0.173836768018	1411951751252	1411951758206
524288 262144	40	0.345193786809	1411951825489	1411951839298
524288 524288	15	0.691295454785	1411951972958	1411951983328
