524288 1	7000	0.001094034856	1411955816448	1411955824107
524288 2	7000	0.001055567383	1411955897973	1411955905362
524288 4	7000	0.001025583441	1411955976738	1411955983917
524288 8	7000	0.001023631189	1411956053260	1411956060426
524288 16	7000	0.001032602109	1411956129488	1411956136717
524288 32	7000	0.001053871261	1411956206547	1411956213925
524288 64	7000	0.001106050712	1411956285165	1411956292908
524288 128	7000	0.001146652748	1411956367699	1411956375726
524288 256	7000	0.001190664239	1411956453401	1411956461737
524288 512	7000	0.001132433286	1411956542302	1411956550230
524288 1024	7000	0.001266269086	1411956626855	1411956635720
524288 2048	3000	0.001528327781	1411956721466	1411956726051
524288 4096	3000	0.002077795037	1411956770331	1411956776565
524288 8192	3000	0.003096136562	1411956836875	1411956846165
524288 16384	3000	0.005119055927	1411956935839	1411956951198
524288 32768	3000	0.008681917157	1411957099735	1411957125783
524288 65536	500	0.015951998246	1411957283976	1411957291953
524288 131072	90	0.030711023860	1411957368903	1411957371668
524288 262144	90	0.059925905261	1411957398366	1411957403760
524288 524288	90	0.118215991671	1411957455804	1411957466444
