524288 1	7000	0.001095860101	1411954056641	1411954064312
524288 2	7000	0.001060121675	1411954138395	1411954145816
524288 4	7000	0.001040268372	1411954217503	1411954224786
524288 8	7000	0.001024561686	1411954295284	1411954302456
524288 16	7000	0.001033517090	1411954371846	1411954379082
524288 32	7000	0.001068551606	1411954448985	1411954456465
524288 64	7000	0.001107139552	1411954528701	1411954536452
524288 128	7000	0.001147932826	1411954611611	1411954619647
524288 256	7000	0.001193352467	1411954697294	1411954705648
524288 512	7000	0.001142200138	1411954786302	1411954794297
524288 1024	7000	0.001267061968	1411954871640	1411954880511
524288 2048	3000	0.001528629171	1411954966393	1411954970979
524288 4096	3000	0.002117409423	1411955015320	1411955021673
524288 8192	3000	0.003081799384	1411955083122	1411955092368
524288 16384	3000	0.005130949543	1411955181815	1411955197209
524288 32768	3000	0.008656182321	1411955346025	1411955371996
524288 65536	500	0.015800088074	1411955530590	1411955538491
524288 131072	90	0.030509271470	1411955614852	1411955617598
524288 262144	90	0.059354649963	1411955644224	1411955649566
524288 524288	90	0.117388215711	1411955701268	1411955711834
