#1.Msg_size 2.Frags  3.Inst_active_diff 4.Inst_passive_diff 5.Inst_tot_diff 6.Cache_active_diff 7.Cache_passive_diff 8.Cache_tot_diff 9.Inst_per_put_ini 10.Inst_per_put_final 11.Inst_per_put_diff 12.Cache_per_put_ini 13.Cache_per_put_final 14.Cache_per_put_diff
524288 1 33.632685749057 16.551432578782 18.087704904458 20.891839622120 18.429009808466 20.891824297708 790904.019330422360 524901.755932352634 33.632685749057 3491.794008771946 2762.294004524482 20.891839622120
524288 2 28.207889016528 15.234961686793 16.451658701133 24.183027210498 52.898520494264 24.183136996234 413756.978014814070 297044.868858252669 28.207889016528 1804.790404002808 1368.337449510344 24.183027210498
524288 4 22.288971287296 13.595817044730 14.486417792553 33.189191549494 1.298631976527 33.189126956146 227362.379050046745 176685.643665467034 22.288971287296 950.414746508061 634.979775774862 33.189191549494
524288 8 11.485894228000 13.331299613871 13.120486574599 44.627646536657 -14.414421504205 44.627491488386 132197.273599675130 117013.234581716661 11.485894228000 528.367036647582 292.569263116286 44.627646536657
524288 16 6.777137924930 14.378814039827 13.502694249066 54.774299430172 -3.750007507220 54.774214911596 68931.220710992911 64259.656810070670 6.777137924930 346.228425861452 156.584231167727 54.774299430172
524288 32 -1.427805695306 15.294114183172 13.318888273100 75.356313709671 -17.721587563803 75.356220458083 37196.662958984914 37727.759031177187 -1.427805695306 246.419887455989 60.726944021634 75.356313709671
524288 64 -5.264445895259 14.749813174730 11.760290467238 72.839859948006 19.565167540898 72.839796305709 26144.854790750596 27521.236525603715 -5.264445895259 120.334856562447 32.683115573726 72.839859948006
524288 128 -1.212951028991 13.571559590744 10.476015748545 72.958421397798 -27.848108181019 72.958315510603 22321.151598272225 22591.896236266202 -1.212951028991 58.758527906163 15.889233509242 72.958421397797
524288 256 -1.318111612681 11.569627401597 8.003999032070 70.658599824424 -21.000063423374 70.658475883767 19744.592398013552 20004.848163288457 -1.318111612681 28.888715180197 8.476353526603 70.658599824427
524288 512 1.684453237447 5.790276101937 4.358184884585 -7.081152616426 -21.481499068197 -7.081284771148 16987.834895410826 16701.682760542766 1.684453237447 2.873155670330 3.076608208254 -7.081152616441
524288 1024 .177489852356 4.673848749217 2.902232504543 -21.454191562693 8.333309384209 -21.450570124970 14849.156476127497 14822.800730221820 .177489852356 .642539062399 .780390623711 -21.454191562659
524288 2048 -.154026061419 2.813611867354 1.541944736996 -19.597823180765 -249.999919251983 -19.606845574385 13675.945118739301 13697.009638367635 -.154026061419 .332499998986 .397662760863 -19.597823180668
524288 4096 -.335638756839 9.392325783461 5.130214953699 -23.732295089346 -114.286313709731 -23.740485834418 9744.048511153254 9776.753314441953 -.335638756839 .125950521237 .155841470603 -23.732295088921
524288 8192 -1.353772805269 2.065652834708 .524752941175 10.950698109336 -25.000331975807 10.944034276999 9143.510969424915 9267.293334375788 -1.353772805269 .070235188880 .062543945379 10.950698109662
524288 16384 -1.473515338081 1.504709397607 .137192822380 -19.580443067638 -68.421080404383 -19.590806827212 8853.134049670279 8983.586337793102 -1.473515338081 .036427002011 .043559570401 -19.580443067607
524288 32768 -4.700478249533 .512322012282 -1.863332869533 1.381565287564 -3.921480483458 1.379251182228 8320.131664183507 8711.217643390998 -4.700478249533 .023767903590 .023439534485 1.381565285119
524288 65536 -.544442814720 .741681566464 .137989643515 30.024187703291 -147.368299192341 29.953934692988 8686.344979619155 8733.637160722539 -.544442814720 .014635620073 .010241394031 30.024187701527
524288 131072 -1.085916698630 .722919467288 -.124769350805 -2.613464903045 21.621541897096 -2.573708153504 8594.161672967291 8687.487109681378 -1.085916698630 .006871948235 .007051544191 -2.613464913563
524288 262144 -.515808665960 .640054400260 .097822270208 10.006839670480 -33.707786993380 9.933044856650 8594.561143449251 8638.892634628444 -.515808665960 .004015655510 .003613815301 10.006839680329
524288 524288 -.896340019188 .702658789392 -.046667984246 3.078213970538 -97.076109148790 2.812925679425 8580.983061398825 8657.897846617891 -.896340019188 .002456207283 .002380599967 3.078213981502
