#1.Msg_size 2.Frags  3.Inst_active_diff 4.Inst_passive_diff 5.Inst_tot_diff 6.Cache_active_diff 7.Cache_passive_diff 8.Cache_tot_diff 9.Inst_per_put_ini 10.Inst_per_put_final 11.Inst_per_put_diff 12.Cache_per_put_ini 13.Cache_per_put_final 14.Cache_per_put_diff
524288 1 -84.648388026767 48.203264000861 39.128655031857 -27.143264504156 -19175829.180982159040 -158.270183132880 492401.132133582000 909210.753110214310 -84.648388026767 2752.931598608100 3500.167104036798 -27.143264504156
524288 2 -82.968933150833 48.223213085440 39.355954916639 -30.789815714864 -38007958.286547986518 -163.648468835327 244873.948519666550 448043.251170754780 -82.968933150833 1387.502449023397 1814.711896116935 -30.789815714864
524288 4 -81.042246092215 48.631374129923 39.888905643671 -40.707610167787 -70484031.210025382446 -182.925513305443 122255.115805991971 221333.407617807250 -81.042246092215 693.861176064174 976.315478722007 -40.707610167787
524288 8 -75.638516040471 49.386956107803 40.908282135131 -64.621620564458 -54730722.514568077231 -226.448381265081 61429.462644807703 107893.796600976300 -75.638516040471 342.438799696606 563.728301502034 -64.621620564458
524288 16 -93.571073008207 50.203948325795 41.708435373850 -117.644971159410 -79016657.512801497683 -321.901063425748 26430.024093371717 51160.881233867300 -93.571073008207 166.832194006778 363.101880530665 -117.644971159411
524288 32 -108.732775440561 52.401020528249 44.402552382733 -265.012820171310 -90291111.991376887038 -603.628970368720 10979.087747952262 22916.954574355400 -108.732775440561 65.829531383576 240.286229008749 -265.012820171310
524288 64 -87.706375367435 51.961611352612 44.502372831790 -271.406075158564 -88385682.153376144265 -613.954824132748 6051.916600307510 11359.833290697344 -87.706375367435 32.253418723961 119.791156587121 -271.406075158564
524288 128 -37.405440531518 52.267603726664 45.929561611633 -311.009664634882 -106836641.477944768739 -683.080422778206 4173.227351021376 5734.241426052763 -37.405440531519 14.581578126366 59.931695355653 -311.009664634901
524288 256 -12.017730417238 52.878025424579 47.474212762422 -286.909756266715 -83155841.081400697378 -634.512800596315 2584.443031370141 2895.034427667311 -12.017730417238 7.756275395889 30.009786229612 -286.909756266749
524288 512 15.431255397685 54.474557447962 49.578356931574 -48.118691921499 -23196348.228979477411 -205.839596996606 2171.851866615086 1836.707858218322 15.431255397685 2.987437486138 4.424953326441 -48.118691921528
524288 1024 44.487668211985 59.196671484882 56.792180528225 -60.712714357781 -2341174.679351898317 -271.001568628819 1684.674865050756 935.202300636263 44.487668211985 .724746095206 1.164759121808 -60.712714357837
524288 2048 64.091025473199 64.732788272452 64.599453934509 24.710941212412 -2190919.000203534494 -58.254209860699 1343.623917190239 482.481570159840 64.091025473199 .773658854695 .582480469926 24.710941212502
524288 4096 82.088446804376 73.583321321181 76.048030434685 62.348508151204 -7170541.875472976883 25.485493451908 1427.913889339793 255.761555876792 82.088446804376 .633214520322 .238414713504 62.348508151271
524288 8192 89.054443230049 80.883720726925 83.592656092523 88.662424175342 -1018517.121997557336 77.804538853724 1302.283757112495 142.542207940591 89.054443230049 .839802244442 .095213216240 88.662424175436
524288 16384 93.271161344707 87.784125198562 89.832407673521 90.875039186989 -9035392.862960956767 83.465924027081 1260.305297847769 84.803910056285 93.271161344707 .496229655448 .045280761602 90.875039187023
524288 32768 95.096993927280 92.740105095285 93.615366364936 91.541251718569 -656963.001265066663 85.652595655783 1172.199331448858 57.473004405317 95.096993927280 .249713541795 .021122639925 91.541251718603
524288 65536 96.416630656893 95.234538504916 95.702625228051 93.087301743241 -245754.559481818317 88.859420935115 1166.310100385011 41.793198582745 96.416630656894 .124221191452 .008587036136 93.087301743263
524288 131072 96.889404973809 96.758729264706 96.810626800916 93.652901623659 -111406.861656258798 89.842233157939 1165.753961942970 36.261884757816 96.889404973809 .062505493338 .003967285152 93.652901624907
524288 262144 97.044405001976 97.396591314723 97.254789593304 93.352472090532 -81509.816557172693 89.368451577208 1166.518277326208 34.477555855679 97.044405001976 .031253128165 .002077560417 93.352472091652
524288 524288 97.249914925182 97.802927659497 97.578038914779 92.950717247743 -36138.939781719232 88.673374037849 1165.412094647390 32.049824075016 97.249914925182 .015508728032 .001093254090 92.950717249382
