#1.Msg_size 2.Frags  3.Inst_active_diff 4.Inst_passive_diff 5.Inst_tot_diff 6.Cache_active_diff 7.Cache_passive_diff 8.Cache_tot_diff 9.Inst_per_put_ini 10.Inst_per_put_final 11.Inst_per_put_diff 12.Cache_per_put_ini 13.Cache_per_put_final 14.Cache_per_put_diff
524288 1 6.191753681799 -.569565595062 -.076862749714 .338935895348 -6.218512498676 .338893822812 524901.755932352634 492401.132133582000 6.191753681799 2762.294004524482 2752.931598608100 .338935895348
524288 2 17.563313091087 .317178779946 1.707051761146 -1.400604764556 -49.230747572354 -1.400718370238 297044.868858252669 244873.948519666550 17.563313091087 1368.337449510344 1387.502449023397 -1.400604764556
524288 4 30.806423617830 1.742868164609 4.448707279763 -9.272956798893 26.315798705351 -9.272850307507 176685.643665467034 122255.115805991971 30.806423617830 634.979775774862 693.861176064174 -9.272956798893
524288 8 47.502124127755 4.949949271828 9.902427259042 -17.045377921500 36.220526626156 -17.045088892616 117013.234581716661 61429.462644807703 47.502124127755 292.569263116286 342.438799696606 -17.045377921500
524288 16 58.869957597984 7.108059121425 13.537662416418 -6.544696590855 16.867542971585 -6.544619026734 64259.656810070670 26430.024093371717 58.869957597984 156.584231167727 166.832194006778 -6.544696590855
524288 32 70.899178668737 10.640780399655 18.969548620350 -8.402509700016 15.053717056065 -8.402397442197 37727.759031177187 10979.087747952262 70.899178668737 60.726944021634 65.829531383576 -8.402509700017
524288 64 78.010012033153 15.491864349707 26.631887166899 1.314736499939 -8.108096503386 1.314703163629 27521.236525603715 6051.916600307510 78.010012033153 32.683115573726 32.253418723961 1.314736499938
524288 128 81.527768597298 24.676249355637 38.133885002490 8.229820413393 35.643536390892 8.229956552611 22591.896236266202 4173.227351021376 81.527768597298 15.889233509242 14.581578126366 8.229820413397
524288 256 87.080916534458 37.670014055454 52.725690315609 8.495140374385 31.404968486281 8.495268125598 20004.848163288457 2584.443031370141 87.080916534458 8.476353526603 7.756275395889 8.495140374384
524288 512 86.996209317626 49.307471579257 62.820617110974 2.898345063127 36.585395118855 2.898695790204 16701.682760542766 2171.851866615086 86.996209317626 3.076608208254 2.987437486138 2.898345063137
524288 1024 88.634571187239 60.400684884059 71.837328504078 7.130343037820 9.090817503746 7.130522933253 14822.800730221820 1684.674865050756 88.634571187239 .780390623711 .724746095206 7.130343037746
524288 2048 90.190384962375 71.096006209797 79.419108353120 -94.551497106531 35.713691089224 -94.536570000318 13697.009638367635 1343.623917190239 90.190384962375 .397662760863 .773658854695 -94.551497106749
524288 4096 85.394804968327 69.092381895002 76.646473076213 -306.319651546194 86.666663911389 -306.258094790067 9776.753314441953 1427.913889339793 85.394804968327 .155841470603 .633214520322 -306.319651548392
524288 8192 85.947528473261 75.948010716532 80.539200130321 -1242.739475966771 45.000135337301 -1242.404441932420 9267.293334375788 1302.283757112495 85.947528473261 .062543945379 .839802244442 -1242.739475984473
524288 16384 85.971022590991 79.398909323567 82.465311455102 -1039.197771856137 96.875000466798 -1038.858271048810 8983.586337793102 1260.305297847769 85.971022590991 .043559570401 .496229655448 -1039.197771878411
524288 32768 86.543794685945 79.927333352289 83.026670543912 -965.351967427747 79.245262368677 -964.871633075407 8711.217643390998 1172.199331448858 86.543794685945 .023439534485 .249713541795 -965.351967441174
524288 65536 86.645768779699 81.746719349859 84.061991151348 -1112.932449196666 85.106288941927 -1111.256885757783 8733.637160722539 1166.310100385011 86.645768779699 .010241394031 .124221191452 -1112.932449195792
524288 131072 86.581229448457 81.708048997584 84.013727977200 -786.408588607008 75.862072722034 -785.327722265489 8687.487109681378 1165.753961942970 86.581229448457 .007051544191 .062505493338 -786.408588600731
524288 262144 86.496900393804 82.091181930348 84.170663225451 -764.823615976736 83.193268321047 -762.698440543631 8638.892634628444 1166.518277326208 86.496900393804 .003613815301 .031253128165 -764.823616092160
524288 524288 86.539318027381 82.400714158464 84.356628148265 -551.463002654864 85.756677829503 -548.040348375662 8657.897846617891 1165.412094647390 86.539318027381 .002380599967 .015508728032 -551.463002897706
